,text,label
0,what is the population of arkansas on july 1st 2002 ?,bar
1,"show me arkansas ' population on july 1 , 2002 .",bar
2,"on july 1st 2002 , what was the population of arkansas ?",bar
3,"find what arkansas ' population was on july 1st , 2002 .",bar
4,can you tell me the number of people living in arkansas on july 1st 2002 ?,bar
5,"on july 1st 2002 , what is the population of arkansas ?",bar
6,can you tell me the population of arkansas on july 1st 2002 ?,bar
7,"how many people were in arkansas on july 1 , 2002 ?",bar
8,"as of july 1st 2002 , what is the population of the state of arkansas ?",bar
9,can you tell me what is arkansas 's population on the date july 1st of 2002 ?,bar
10,as of 1st july 2002 what was arkansas population ?,bar
11,"how about the population of arkansas on jul 1 , 2002 ?",bar
12,how many people lived in arkansas in july 1st 2002 ?,bar
13,"on july 1st , 2002 , how many residents lived in arkansas ?",bar
14,how many people lived in arkansas at the beginning of july in 2002 ?,bar
15,confirmed the population of arkansas on july 1st 2002 .,bar
16,where is harvard university located ?,bar
17,can you tell me where to find harvard university ?,bar
18,which location is the harvard university in ?,bar
19,can you tell me the location of harvard university ?,bar
20,where can i find the campus of harvard university ?,bar
21,please tell me where to find harvard university ?,bar
22,tell me the location of harvard university .,bar
23,what is the location of harvard university ?,bar
24,"when it comes to harvard university , in what state is it located ?",bar
25,can you tell me where harvard university is ?,bar
26,where can i find harvard university ?,bar
27,can you tell me the harvard university address ?,bar
28,confirm where harvard university is located at .,bar
29,can you show me where harvard university is on a map ?,bar
30,how many faculties are there in harvard university ?,bar
31,what is the number of the faculties at harvar university ?,bar
32,what are the number of faculties that are inside harvard university ?,bar
33,can you tell me the number of the faculties in harvard university ?,bar
34,tell me the number of faculties in harvard university .,bar
35,what is the number of faculties in harvard university ?,bar
36,"within harvard university , what is the number of faculties that it has ?",bar
37,what is the number of faculties within harvard university ?,bar
38,tell me the number of faculties harvard university has .,bar
39,show me the number of faculties at harvard university .,bar
40,harvard university has how many faculties ?,bar
41,do you know the the number of faculties that harvard university has ?,bar
42,show me the number of faculties that harvard university has,bar
43,tell me how many faculties are in harvard university .,bar
44,what 's the total number of faculty at harvard ?,bar
45,"at harvard university , how many faculties are there ?",bar
46,elaborate on how many facilities that are in harvard university .,bar
47,what is the number of divisions in harvard university ?,bar
48,how many divisions does harvard university have ?,bar
49,what type of school is harvard university ?,bar
50,what category of school would harvard university be listed under ?,bar
51,can you tell me what type of school harvard university is ?,bar
52,can you find what category of school harvard university is ?,bar
53,harvard university is classified as a certain type of school . can you tell me what that is ?,bar
54,find what type of school harvard university is .,bar
55,can you tell me what type of school is harvard university ?,bar
56,which category of educational institution does harvard university belong to ?,bar
57,harvard university would be classified as what type of school ?,bar
58,harvard university is what type of school ?,bar
59,what kind of institution is harvard university ?,bar
